Date,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,macd_buy,macd_sell,ema_buy,ema_sell,rsi_buy,rsi_sell,volume_buy,volume_sell,scores
2012-10-04,2012-10-04,313.80297428272536,318.35417953397365,312.8001638332408,315.5000305175781,5449943,311.29577527887824,304.6834220898047,59.002521052127754,3.5532049980581064,2.3143849541234887,1.2388200439346178,0,0,0,0,1,0,1,0,0,0,1,0,13.683798545672346
2012-10-05,2012-10-05,318.2771705097364,319.3956683769144,261.5025627196966,316.69580078125,6136625,313.0957837796688,305.5732279188006,59.79655195630463,3.9648105065062964,2.6444700646000503,1.320340441906246,0,0,0,0,1,0,1,0,0,0,1,0,14.122532363781565
2012-10-08,2012-10-08,315.5000909487632,322.365507786999,313.0316225808067,314.4587097167969,7662713,313.5500924253782,306.2314117556893,57.55084762838627,4.063653022154597,2.9283066561109594,1.1353463660436374,0,0,0,0,1,0,1,0,0,0,0,1,14.415021575854377
2012-10-09,2012-10-09,317.31282551253327,320.82267473894984,314.8058115298607,317.8528137207031,3768613,314.98433285715316,307.0922563456903,60.00503608759576,4.365539038747329,3.215753132638233,1.1497859061090958,0,0,0,0,1,0,1,0,1,0,0,0,13.94334771723625
2012-10-10,2012-10-10,317.7371608653769,322.7897850625943,316.3486442101407,317.5057373046875,5255025,315.82480100633126,307.86362530561604,59.625410992270666,4.5246226819369895,3.4775270424979845,1.047095639439005,0,0,0,0,1,0,1,0,0,0,0,0,13.962231811490833
2012-10-11,2012-10-11,319.6656233444972,325.4510884955215,316.42576780170333,324.17828369140625,6298331,318.60929523468957,309.0721185193783,64.30136284007504,5.1299811149214065,3.808017856982669,1.3219632579387377,0,0,0,0,1,0,1,0,1,0,1,0,14.308154540993888
2012-10-12,2012-10-12,325.75963711486054,328.9994677885232,323.52259234769525,324.7182312011719,5497075,320.645607223517,310.2310898291408,64.65805778331942,5.588876200062373,4.164189525598609,1.4246866744637634,0,0,0,0,1,0,1,0,1,0,0,0,14.538769693995926
2012-10-15,2012-10-15,324.0240007449581,325.95248088887394,320.89985698167874,323.13690185546875,3257441,321.47603876750094,311.1870759051651,62.68268803165273,5.75857255884813,4.4830661322485135,1.275506426599616,0,0,0,0,1,0,1,0,1,0,0,0,13.692513129330615
2012-10-16,2012-10-16,325.37388488646405,326.18384243953875,314.0729508917443,315.5771789550781,3139213,319.50975216336,311.51226872367715,54.163457787389625,5.222845969730656,4.631022099744942,0.5918238699857143,0,0,0,0,1,0,1,0,0,0,0,0,13.461675419553742
2012-10-17,2012-10-17,320.0513196026814,320.0513196026814,311.7974109839246,314.111572265625,3327967,317.710358864115,311.7048097267844,52.668931706183685,4.626683054656837,4.6301542907273205,-0.0034712360704833856,0,1,0,0,0,1,1,0,0,0,0,0,13.641116946369161
2012-10-18,2012-10-18,315.80866108119426,318.1999883093049,313.03162794245327,317.6214294433594,4271220,317.6807157238631,312.1430778539381,55.81338088020053,4.386866721644367,4.58149677691073,-0.19463005526636312,0,0,0,0,0,1,1,0,0,0,1,0,14.094077964246106
