,id,ticker,Entry Type,buy_date,buy_price,sell_date,sell_price,change_pct,pnl,pnl_pct,quantity,num_days,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
48,49,,long,2012-06-18,1054.1761108398437,2012-06-22,1015.9522794059287,-3.63,-2118.204410720324,-0.78,50,4,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
49,50,,long,2012-08-22,1174.1276733398438,2012-10-01,1258.0362411519955,7.15,3952.2119991583995,1.43,50,27,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
50,51,,long,2013-04-25,1080.0314147949218,2013-05-10,1065.1043888831653,-1.38,-960.8648759556373,-0.34,50,10,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
51,52,,long,2013-07-17,1117.6349792480469,2013-07-18,1117.6696807047927,0.0,-443.59078631599004,-0.16,100,1,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
52,53,,long,2013-09-10,902.0502868652344,2013-09-26,960.6123537201408,6.49,5483.674157373569,1.93,100,12,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
53,54,,long,2013-12-09,1004.6769442491499,2013-12-17,961.1410262484127,-4.33,-4746.755394173231,-1.66,100,6,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
54,55,,long,2014-02-25,952.5572326660156,2014-03-04,968.6322077237149,1.69,1223.2596176919901,0.43,100,4,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
55,56,,long,2014-05-13,1230.879052734375,2014-05-22,1232.932830315328,0.17,-143.69230925731978,-0.05,50,7,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
56,57,,long,2014-06-09,1289.8688354492188,2014-06-17,1309.9579500875416,1.56,744.4730533624653,0.26,50,6,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
57,58,,long,2014-08-18,1346.5012451171874,2014-08-20,1361.8188947616,1.14,495.05046823274824,0.17,50,2,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
